Gene	HALLMARK_MYOGENESIS	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_MITOTIC_SPINDLE	HALLMARK_COMPLEMENT	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_HYPOXIA	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_G2M_CHECKPOINT	HALLMARK_DNA_REPAIR	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_UV_RESPONSE_DN	HALLMARK_HEME_METABOLISM	HALLMARK_UV_RESPONSE_UP	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_SPERMATOGENESIS	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_NOTCH_SIGNALING	HALLMARK_MYC_TARGETS_V2
RAD51	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ELOA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC139530.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CCNO	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLP1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TAF6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MPG	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ERCC8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BRF2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GTF2H1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ELL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RRM2B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PRIM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TAF1C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALYREF	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GSDME	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLD1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR2J	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TAF13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BCAP31	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GTF2A2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR2K	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RPA3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ERCC4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GTF2B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
RFC5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
XPC	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TSG101	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ALAS1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ATP6V1F	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
COX17	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
GPX4	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ETFB	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
VDAC1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PDHA1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
UQCRC1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COX4I1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACAA2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HSD17B10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PDHX	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFC1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFA5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFS4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COX11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TIMM13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFA9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HADHB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MDH1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AIFM1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFB7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TCIRG1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ATP5PB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFB1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
BCKDHA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OXA1L	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MTX2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACADVL	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MRPL11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
UQCRQ	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDUFB5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SDHB	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IRF8	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
UPP1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PSMB10	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NOD1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
RNF31	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PSMA2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TRIM21	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
VAMP8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SOCS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IL4R	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
METTL7B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PELI1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PSMB8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PSME1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LY6E	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CSF2RB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TNFAIP2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ISG15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CXCL11	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SLC25A28	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CCL7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MVP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PTPN1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZNFX1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LGALS3BP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC1A5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENTPD5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC46A3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NINJ1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VNN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CES1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTO1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CROT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMBIM6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AOX1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XDH	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPEP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD11B1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1C	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARPP19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBL2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP17A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6PC	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LONP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEAP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTT2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCKR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC35B1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSAD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBR1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2S1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP2J2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REG1A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCXR	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
UGDH	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GNMT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AQP9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SERPINA6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYP27A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RXRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HAO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CYP8B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
BBOX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AKR1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NEDD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PXMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NR0B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HSPA2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
ELOVL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TEKT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PGK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PRM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
DPEP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PSMG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HSPA1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GFI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
THEG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TSSK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ZC2HC1C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MX1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LFNG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SLC38A3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT15	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDAR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL12B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLSTN3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NRIP2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSHB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO15A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNE2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCGB1A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPA2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYPD3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD207	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSHB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMK1D	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTF3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRDT	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF16	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPY4R	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTFR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFF2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRODH	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFHD1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR1B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
C1S	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SERPING1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CFH	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PSMB9	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SCG3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SERPINB2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCD	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FCER1G	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QC	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNGT2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GP1BA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLKB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMB	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CG	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK5R1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAF1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSD	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MSRB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPINC1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNB4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNAI2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLA2G7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSO	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTA4H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASP5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WAS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFN1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUSP5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3MBTL4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GZMK	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNB2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA2B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PDX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FOXA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CHGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SPCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ELP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRPRB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SYT13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
G6PC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ISL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
IAPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GCK	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PKLR	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
F3	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLAUR	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFB	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4HA2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SELENBP1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GPI	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NDRG1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
VHL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDOA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPARGC1A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFKFB3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPBG	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFNA3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3GALT6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIF	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UGP2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRAGD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKZF1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLIN2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRS2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDM3A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBI	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STBD1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRPX	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4HA1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADM	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HK1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
