Gene	HALLMARK_MTORC1_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_P53_PATHWAY	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_COAGULATION	HALLMARK_MYC_TARGETS_V1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_GLYCOLYSIS	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_SURFACE	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_PEROXISOME	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_WNT_BETA_CATENIN_SIGNALING
PRDX4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
CTPS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
RRP9	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CYC1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRDX3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ODC1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
APEX1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CCT4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PHB	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RPS10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMD1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HDDC2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC004086.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EEF1B2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
IMPDH2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNRPD3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ILF2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RPS5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CCT7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AP3S1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CAD	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GLO1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
XRCC6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ERH	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMB3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PSMA6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
VBP1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PABPC4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACAT2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ERRFI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CXCL16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TP53INP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FDPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
CDK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HSD11B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FABP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GPD2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD36	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLD	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADM	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTC4S	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TALDO1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFS3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHCHD10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNG2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNCG	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHRS7B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCK1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT1A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPAT4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEMT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OMD	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB34	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL15A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX8A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UQCR11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RTN3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL4A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELMOD3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIPE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SQOR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIM3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDX6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MSRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FES	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ALDH9A1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ACSL4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
YWHAH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CEL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LGALS1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2L6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAD2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBR3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT5A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D2HGDH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCDH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2AFZ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UROS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP1A1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDO2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYZ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECI1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD1D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL4I1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METAP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AOC3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BPHL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NTHL1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INMT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCEE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERO1A	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLRX	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
GCLC	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ADIPOR2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LDHA	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
IDH1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
